drug1.conc,drug2.conc,effect
0,0,1.00488135039273
0.025,0,1.02090892166823
0.05,0,1.00081769268706
0.1,0,0.883693632709369
0.2,0,0.513160165524211
0.4,0,0.42404805622677
0.8,0,0.39436873609528
0,0.025,0.980773909118155
0.025,0.025,0.984856122484059
0.05,0.025,0.889223768744638
0.1,0.025,0.674906842599608
0.2,0.025,0.412909501464478
0.4,0.025,0.396022128311479
0.8,0.025,0.441059799073024
0,0.05,0.822799665191019
0.025,0.05,0.818847188135519
0.05,0.05,0.750291642608499
0.1,0.05,0.556545811788104
0.2,0.05,0.409630431332112
0.4,0.05,0.413633951772432
0.8,0.05,0.443308962659793
0,0.1,0.762226490406033
0.025,0.1,0.720684896773376
0.05,0.1,0.67577554375821
0.1,0.1,0.394454286354989
0.2,0.1,0.379349310355694
0.4,0.1,0.329224115811452
0.8,0.1,0.432024680786536
0,0.2,0.569874198190647
0.025,0.2,0.551215286116853
0.05,0.2,0.465943348902069
0.1,0.2,0.375249826286327
0.2,0.2,0.310241675920582
0.4,0.2,0.320641490131366
0.8,0.2,0.279838326170072
0,0.4,0.446067490336358
0.025,0.4,0.433598226804355
0.05,0.4,0.329450400786665
0.1,0.4,0.154924724804563
0.2,0.4,0.080547953797829
0.4,0.4,0.044271195498391
0.8,0.4,0.051993257815396
0,0.8,0.378166510552779
0.025,0.8,0.302264840657932
0.05,0.8,0.258754154361157
0.1,0.8,0.06566383747027
0.2,0.8,0.023114272018103
0.4,0.8,0.034842967754069
0.8,0.8,0.016456792358835
