"","lower","best","upper"
"C1",0.00999199747888645,0.010000555959488,0.0100157229904977
"C2",0.0998293090987972,0.0999136803856189,0.0999946413974041
"h1",0.999575933479002,1.00041819737836,1.001306621983
"h2",3.00680256091394,3.01212241092523,3.01672706546463
"delta",0.582135623535083,0.586444156134806,0.588745736229718
"E0",0.999803278088249,0.999970708775336,1.00013925894001
"E1",-7.21099639751183e-05,3.8365969592253e-05,0.000212385295733687
"E2",-7.04123657254935e-05,3.62532498120362e-05,0.000169111701799769
"E3",-0.00162330063633858,-0.00129277626188014,-0.000604237940642404
